bezirke,bezirke-href,bezirkname,Wahlvorschlag,Kandidat(in),Stimmen,Stimmenanteil in %
76002 - Strehlen 2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-76002-strehlen2_gesamt.html,,Gültige,,504,"99,2"
94101 - Naußlitz (Koblenzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94101-naulitzkoblenzerstr_gesamt.html,,CDU,"Ulbig, Markus",37,"13,5"
35310 - Lausa (Alte Dresdner Str./​Schönburgstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35310-lausaaltedresdnerstrschnburgstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",132,"25,5"
45210 - Weißig (Am Weißiger Bach),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45210-weiigamweiigerbach_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",152,"37,6"
11400 - Äußere Neustadt (Böhmische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11400-uereneustadtbhmischestr_gesamt.html,01100 - Innere Altstadt,,,,
64000 - Großzschachwitz/​Sporbitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-64000-grozschachwitzsporbitz_gesamt.html,,Ungültige,,2,"0,4"
31002 - Klotzsche-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31002-klotzsche-2_gesamt.html,,Die PARTEI,"Stosch, Lars",6,"0,9"
64500 - Großzschachwitz (Schweizstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-64500-grozschachwitzschweizstr_gesamt.html,,AfD,"Vogel, Stefan",12,"2,3"
31800 - Klotzsche (Binzer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31800-klotzschebinzerweg_gesamt.html,01100 - Innere Altstadt,,,,
90710 - Alt-Leu./​Brab./​Rennersd./​Merbitz/​Podemus,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90710-alt-leubrabrennersdmerbitzpodemus_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",50,"26,7"
77300 - Reick (Lübbenauer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-77300-reicklbbenauerstr_gesamt.html,,CDU,"Ulbig, Markus",31,"11,4"
85302 - Gittersee-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85302-gittersee-sd_gesamt.html,,Festerling,"Festerling, Tatjana",40,"11,3"
97300 - Neu-Omsewitz (Ginster-/​Sanddornstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-97300-neu-omsewitzginster-sanddornstr_gesamt.html,,Gültige,,484,"98,8"
22000 - Mickten/​Übigau/​Trachau-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-22000-micktenbigautrachau-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",333,"33,5"
53100 - Johannstadt-Südost (Anton-Graff-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53100-johannstadt-sdostanton-graff-str_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",213,"38,8"
53600 - Striesen-Süd (Haenel-Clauß-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53600-striesen-sdhaenel-clau-platz_gesamt.html,,Ungültige,,1,"0,3"
31300 - Klotzsche (Grüner Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31300-klotzschegrnerweg_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",129,29
63302 - Meußlitz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63302-meulitz-sd_gesamt.html,,Ungültige,,6,"1,3"
94200 - Wölfnitz/​Naußlitz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94200-wlfnitznaulitz-west_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",141,"28,6"
75902 - Mockritz-Ost (Gostritzer Str.-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75902-mockritz-ostgostritzerstr-nord_gesamt.html,,Ungültige,,3,"0,7"
35410 - Alt-Lausa/​Friedersdorf,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-35410-alt-lausafriedersdorf_gesamt.html,,Festerling,"Festerling, Tatjana",72,12
90210 - Cossebaude-Süd/​Neu-Leuteritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90210-cossebaude-sdneu-leuteritz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",138,"31,7"
84000 - Kleinpestitz/​Mockritz/​Kaitz/​Gostritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-84000-kleinpestitzmockritzkaitzgostritz_gesamt.html,,AfD,"Vogel, Stefan",60,"6,8"
77100 - Reick (Gudehusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-77100-reickgudehusstr_gesamt.html,,CDU,"Ulbig, Markus",71,"16,4"
32201 - Rähnitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-32201-rhnitz-nord_gesamt.html,,Ungültige,,1,"0,3"
45110 - Weißig (Heidestr./​Marienbäder),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-45110-weiigheidestrmarienbder_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",197,"41,1"
22400 - Mickten (Lommatzscher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22400-micktenlommatzscherstr_gesamt.html,,Die PARTEI,"Stosch, Lars",6,"1,8"
51200 - Blasewitz (Schillerplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51200-blasewitzschillerplatz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",207,"31,7"
11300 - Äußere Neustadt (Jordanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11300-uereneustadtjordanstr_gesamt.html,,Ungültige,,8,"1,2"
95100 - Gorb.-Süd (A.-Dietrich-Pl./​Wölfn.Ring-W),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95100-gorb-sda-dietrich-plwlfnring-w_gesamt.html,,Festerling,"Festerling, Tatjana",76,"20,1"
07800 - Johannstadt-Süd (Maria-Cebotari-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07800-johannstadt-sdmaria-cebotari-str_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",134,"34,9"
31601 - Klotzsche (Königswald-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31601-klotzscheknigswald-nord_gesamt.html,,Die PARTEI,"Stosch, Lars",8,"1,6"
85100 - Coschütz-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85100-coschtz-ost_gesamt.html,,AfD,"Vogel, Stefan",14,"2,5"
74201 - Lockwitz-Nordwest,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74201-lockwitz-nordwest_gesamt.html,,CDU,"Ulbig, Markus",128,"21,5"
90410 - Niederwartha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90410-niederwartha_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",37,"22,3"
63301 - Meußlitz-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63301-meulitz-nord_gesamt.html,,Die PARTEI,"Stosch, Lars",3,"0,6"
11400 - Äußere Neustadt (Böhmische Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11400-uereneustadtbhmischestr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",442,"69,6"
11200 - Äußere Neustadt (Timäusstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11200-uereneustadttimusstr_gesamt.html,,Festerling,"Festerling, Tatjana",12,"2,1"
91502 - Cotta (Hölderlinstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91502-cottahlderlinstr_gesamt.html,,CDU,"Ulbig, Markus",71,"17,6"
42900 - Neu-Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42900-neu-rochwitz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",80,"29,5"
07900 - Johannstadt-Süd (Lortzingstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07900-johannstadt-sdlortzingstr_gesamt.html,,Ungültige,,4,1
99810 - Altfranken,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-99810-altfranken_gesamt.html,01100 - Innere Altstadt,,,,
91200 - Cotta (Grillparzerplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91200-cottagrillparzerplatz_gesamt.html,,Ungültige,,5,"0,9"
86200 - Plauen (Würzburger Str.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86200-plauenwrzburgerstr-ost_gesamt.html,,AfD,"Vogel, Stefan",18,"3,3"
75100 - Leubnitz (Fritz-Busch-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75100-leubnitzfritz-busch-str_gesamt.html,,Ungültige,,6,"1,3"
83800 - Zschertnitz (Tizianstr.)/​Strehlen-SW,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83800-zschertnitztizianstrstrehlen-sw_gesamt.html,,Ungültige,,6,"1,3"
42800 - Rochwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42800-rochwitz_gesamt.html,,Die PARTEI,"Stosch, Lars",6,"1,6"
92000 - Löbtau-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-92000-lbtau-nord_gesamt.html,01100 - Innere Altstadt,,,,
57001 - Gruna-1/​Strehlen-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-57001-gruna-1strehlen-nordost_gesamt.html,,Ungültige,,2,"0,2"
03400 - Strehlen (Tiergartenstr.-West/​Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-03400-strehlentiergartenstr-westost_gesamt.html,,CDU,"Ulbig, Markus",108,"15,7"
55800 - Seidnitz-Nord (Schlottwitzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55800-seidnitz-nordschlottwitzerstr_gesamt.html,,Festerling,"Festerling, Tatjana",53,"11,4"
42200 - Loschwitz-Nordost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42200-loschwitz-nordost_gesamt.html,,CDU,"Ulbig, Markus",122,"19,4"
51500 - Blasewitz (Oehmestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-51500-blasewitzoehmestr_gesamt.html,,Ungültige,,5,"1,1"
92300 - Löbtau-Nord (Grumbacher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92300-lbtau-nordgrumbacherstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",239,"46,7"
71500 - Prohlis-Nord (Jacob-Winter-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71500-prohlis-nordjacob-winter-platz_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",75,"23,1"
75700 - Leubnitz (Clausen-Dahl-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75700-leubnitzclausen-dahl-str_gesamt.html,,CDU,"Ulbig, Markus",68,16
07900 - Johannstadt-Süd (Lortzingstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-07900-johannstadt-sdlortzingstr_gesamt.html,,Festerling,"Festerling, Tatjana",31,8
04100 - Wilsdruffer Vorstadt (Ostra-Allee),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04100-wilsdruffervorstadtostra-allee_gesamt.html,,AfD,"Vogel, Stefan",11,"3,3"
24800 - Trachau (Neuländer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-24800-trachauneulnderstr_gesamt.html,,Festerling,"Festerling, Tatjana",38,9
64400 - Großzschachwitz (Rathener Str.-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-64400-grozschachwitzrathenerstr-sd_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",126,"32,6"
41400 - Wachwitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-41400-wachwitz_gesamt.html,,Festerling,"Festerling, Tatjana",48,"13,1"
13000 - Innere Neustadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-13000-innereneustadt_gesamt.html,,Festerling,"Festerling, Tatjana",37,"3,6"
82500 - Südvorstadt-Ost (Wundtstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82500-sdvorstadt-ostwundtstr_gesamt.html,01100 - Innere Altstadt,,,,
93400 - Löbtau-Süd (Zauckeroder Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93400-lbtau-sdzauckeroderstr_gesamt.html,,CDU,"Ulbig, Markus",64,"15,5"
95200 - Gorbitz-Süd (Wölfnitzer Ring-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-95200-gorbitz-sdwlfnitzerring-ost_gesamt.html,,Die PARTEI,"Stosch, Lars",4,"1,7"
94200 - Wölfnitz/​Naußlitz-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-94200-wlfnitznaulitz-west_gesamt.html,,Ungültige,,5,1
42600 - Bühlau (Ullersdorfer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-42600-bhlauullersdorferstr_gesamt.html,,AfD,"Vogel, Stefan",15,"3,2"
93200 - Löbtau-Süd (Klingestr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93200-lbtau-sdklingestr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",153,"24,2"
11300 - Äußere Neustadt (Jordanstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-11300-uereneustadtjordanstr_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",442,"65,5"
22100 - Trachau-Süd (Alttrachau),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22100-trachau-sdalttrachau_gesamt.html,01100 - Innere Altstadt,,,,
53200 - Striesen-Süd (Mosenstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-53200-striesen-sdmosenstr_gesamt.html,,AfD,"Vogel, Stefan",14,"3,5"
52502 - Striesen-Ost (Wittenberger Str.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-52502-striesen-ostwittenbergerstr-ost_gesamt.html,,Gültige,,386,"98,2"
92100 - Löbtau-Nord (Ebertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92100-lbtau-nordebertplatz_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",91,"18,7"
82100 - Südvorstadt-Ost (Hochschulstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-82100-sdvorstadt-osthochschulstr_gesamt.html,,Gültige,,327,"98,8"
61200 - Leuben (Stephensonstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61200-leubenstephensonstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",137,"33,7"
98600 - Leutewitz/​Omsewitz (Neuburgstädtel),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98600-leutewitzomsewitzneuburgstdtel_gesamt.html,,AfD,"Vogel, Stefan",28,"5,1"
74202 - Lockwitz-Südost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-74202-lockwitz-sdost_gesamt.html,,AfD,"Vogel, Stefan",26,"6,4"
05200 - Friedrichstadt (Schäferstr.-Ost),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-05200-friedrichstadtschferstr-ost_gesamt.html,,Ungültige,,6,1
92100 - Löbtau-Nord (Ebertplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92100-lbtau-nordebertplatz_gesamt.html,01100 - Innere Altstadt,,,,
63102 - Kleinzschachwitz-Mitte,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63102-kleinzschachwitz-mitte_gesamt.html,,CDU,"Ulbig, Markus",95,"22,8"
85301 - Gittersee-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-85301-gittersee-nord_gesamt.html,,AfD,"Vogel, Stefan",29,"8,1"
93500 - Löbtau-Süd (Deubener Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-93500-lbtau-sddeubenerstr_gesamt.html,,Ungültige,,7,"1,3"
86700 - Plauen (Friedrich-Hegel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86700-plauenfriedrich-hegel-str_gesamt.html,01100 - Innere Altstadt,,,,
62400 - Laubegast (Altlaubegast),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-62400-laubegastaltlaubegast_gesamt.html,,Gültige,,644,"99,2"
98401 - Briesnitz (Gottfried-Keller-Platz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-98401-briesnitzgottfried-keller-platz_gesamt.html,,Die PARTEI,"Stosch, Lars",3,"0,8"
71000 - Prohlis-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-71000-prohlis-nord_gesamt.html,,Festerling,"Festerling, Tatjana",41,"9,2"
83700 - Zschertnitz (Zschertnitzer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83700-zschertnitzzschertnitzerweg_gesamt.html,01100 - Innere Altstadt,,,,
92300 - Löbtau-Nord (Grumbacher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92300-lbtau-nordgrumbacherstr_gesamt.html,,Festerling,"Festerling, Tatjana",49,"9,6"
90110 - Cossebaude-Nord,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90110-cossebaude-nord_gesamt.html,,CDU,"Ulbig, Markus",87,"16,1"
14401 - Leipziger Vorstadt (Unterer Hecht-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14401-leipzigervorstadtuntererhecht-west_gesamt.html,,Die PARTEI,"Stosch, Lars",47,"9,1"
55600 - Seidnitz-Nord (Enderstr.-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-55600-seidnitz-nordenderstr-nord_gesamt.html,01100 - Innere Altstadt,,,,
22400 - Mickten (Lommatzscher Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22400-micktenlommatzscherstr_gesamt.html,,CDU,"Ulbig, Markus",66,"19,4"
13300 - Innere Neustadt (Wigardstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-13300-innereneustadtwigardstr_gesamt.html,,Gültige,,629,"99,2"
31500 - Klotzsche (Königswald-Süd),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-31500-klotzscheknigswald-sd_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",187,"37,6"
61700 - Leuben (Birkwitzer Weg),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61700-leubenbirkwitzerweg_gesamt.html,,Festerling,"Festerling, Tatjana",56,"18,1"
22502 - Mickten (Sternstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22502-micktensternstr_gesamt.html,,Ungültige,,2,"0,4"
71200 - Prohlis-Nord (Am Anger),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-71200-prohlis-nordamanger_gesamt.html,,Die PARTEI,"Stosch, Lars",7,"1,5"
99110 - Gompitz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-99110-gompitz_gesamt.html,,Ungültige,,2,"0,3"
14300 - Leipziger Vorstadt (Helgolandstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-14300-leipzigervorstadthelgolandstr_gesamt.html,,Ungültige,,7,1
90312 - Gohlis-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90312-gohlis-west_gesamt.html,,CDU,"Ulbig, Markus",67,"18,6"
15100 - Albertstadt-West,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-15100-albertstadt-west_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",217,"55,9"
86700 - Plauen (Friedrich-Hegel-Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-86700-plauenfriedrich-hegel-str_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",135,"40,2"
31001 - Klotzsche-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-31001-klotzsche-1_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",194,"29,1"
94000 - Naußlitz/​Wölfnitz/​Dölzschen/​Roßthal,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-94000-naulitzwlfnitzdlzschenrothal_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",335,"34,8"
91101 - Cotta (Mobschatzer Str.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-91101-cottamobschatzerstr_gesamt.html,01100 - Innere Altstadt,,,,
63200 - Kleinzschachwitz-Süd,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-63200-kleinzschachwitz-sd_gesamt.html,,AfD,"Vogel, Stefan",32,"6,9"
24001 - Trachau-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-24001-trachau-1_gesamt.html,,Gültige,,579,100
98001 - Briesnitz-1/​Kemnitz/​Stetzsch,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-98001-briesnitz-1kemnitzstetzsch_gesamt.html,,CDU,"Ulbig, Markus",82,"12,3"
83800 - Zschertnitz (Tizianstr.)/​Strehlen-SW,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-83800-zschertnitztizianstrstrehlen-sw_gesamt.html,,AfD,"Vogel, Stefan",25,"5,4"
90210 - Cossebaude-Süd/​Neu-Leuteritz,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90210-cossebaude-sdneu-leuteritz_gesamt.html,01100 - Innere Altstadt,,,,
90410 - Niederwartha,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90410-niederwartha_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",60,"36,1"
23100 - Kaditz (Wächterstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-23100-kaditzwchterstr_gesamt.html,,Die PARTEI,"Stosch, Lars",8,"2,3"
90311 - Gohlis-Ost,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-90311-gohlis-ost_gesamt.html,,Gültige,,307,"99,7"
04000 - Wilsdruffer Vorstadt,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-04000-wilsdruffervorstadt_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",363,"35,6"
86002 - Plauen-2,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-86002-plauen-2_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",272,"40,1"
12302 - Radeberger Vorstadt (Fischhausstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12302-radebergervorstadtfischhausstr_gesamt.html,,Unabhängige Bürger für Dresden e. V.,"Hilbert, Dirk",95,29
62001 - Laubegast-1,http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_briefwahlbezirk-62001-laubegast-1_gesamt.html,,CDU,"Ulbig, Markus",77,"13,9"
61500 - Leuben (Altleuben-West),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-61500-leubenaltleuben-west_gesamt.html,,Gültige,,488,"98,8"
22200 - Trachau-Süd (Wöhlerstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-22200-trachau-sdwhlerstr_gesamt.html,,Festerling,"Festerling, Tatjana",69,"18,6"
04500 - Seevorstadt-West (Sternplatz),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-04500-seevorstadt-weststernplatz_gesamt.html,01100 - Innere Altstadt,,,,
54501 - Striesen-West (Alemannenstr.-Nord),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-54501-striesen-westalemannenstr-nord_gesamt.html,,Gemeinsam für Dresden,"Dr. Stange, Eva-Maria",190,"29,2"
12301 - Radeberger Vorstadt (Am Brauhaus),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-12301-radebergervorstadtambrauhaus_gesamt.html,,Die PARTEI,"Stosch, Lars",12,"2,7"
75800 - Leubnitz (Feuerbachstr.),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-75800-leubnitzfeuerbachstr_gesamt.html,,Ungültige,,5,"0,9"
92200 - Löbtau-Nord (Altlöbtau),http://wahlen.dresden.de/2015/OBW/uebersicht_direktwahl_wahlbezirk-92200-lbtau-nordaltlbtau_gesamt.html,01100 - Innere Altstadt,,,,
